name,Tx1.5arcmin,Tx1.5arcmin-,Tx1.5arcmin+,met1.5arcmin,met1.5arcmin-,met1.5arcmin+,norm1.5arcmin,norm1.5arcmin-,norm1.5arcmin+,lx1.5arcmin,lx1.5arcmin-,lx1.5arcmin+
LoVoCCS-69,2.83576,0.0470577979999999,0.0472406259999997,0.534046,0.0343297502,0.0358554358999999,0.0038739,6.632230199999983e-05,6.69869459999999e-05,4.2958425520000003e+43,5.743452940185601e+41,4.4546488686890005e+41
LoVoCCS-74,4.78938,0.1440146240000004,0.1686800279999998,0.36302,0.0511333146,0.0544367598,0.0021119,4.340817399999973e-05,4.3886387000000113e-05,2.961446606e+43,4.493336635685001e+41,5.900762122715001e+41
LoVoCCS-75,3.27895,0.0565571299999998,0.0527665590000001,0.628758,0.0380928481,0.0396192769,0.00358218,5.57949099999999e-05,5.607140800000009e-05,6.13180463e+43,6.5698123272956e+41,5.0938331043429e+41
LoVoCCS-76,3.11058,0.0444203569999999,0.0446789239999998,0.478877,0.0272960537999999,0.0282304264999999,0.00618782,8.237231699999986e-05,8.321475299999988e-05,6.30773071e+43,5.4615553526446e+41,6.8911664014689e+41
LoVoCCS-79,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-80,5.14421,0.1017616270000001,0.1103090369999995,0.417955,0.0361137187,0.0374507507999999,0.00425209,5.319856400000031e-05,5.34106420000003e-05,3.883699401e+43,2.9353235736587002e+41,2.6901232937264003e+41
LoVoCCS-81,4.42766,0.1122738780000007,0.1140539799999995,0.382837,0.0440781287,0.0462477084,0.00162943,2.6559287000000155e-05,2.6563403999999968e-05,2.2786378200000003e+43,2.3169498697079e+41,3.2475814038031004e+41
LoVoCCS-82,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-83,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-84,3.21768,0.043740375,0.0475229829999999,0.494495,0.0282214514,0.0289197059999999,0.00460072,5.797782000000005e-05,5.8599543999999885e-05,4.2243611310000004e+43,3.0922093986780006e+41,2.5746816762869e+41
LoVoCCS-89,6.23603,0.3766585360000007,0.4266470909999995,0.286275,0.0985974566,0.1094051617999999,0.00226625,6.882499700000023e-05,6.771785600000017e-05,3.287011283e+43,7.833514617332501e+41,5.178642837230001e+41
LoVoCCS-90,4.28102,0.4866736269999996,0.579090485,0.482684,0.1932186757,0.2445928473999999,0.000740269,5.118404510000003e-05,5.199067239999996e-05,6.440364561000001e+42,2.8561227983410005e+41,1.582587926539e+41
LoVoCCS-91,1.69337,0.0297786829999999,0.0360143129999999,9.213510000000001e-18,9.213510000000001e-18,0.0004394670446999,0.00292189,3.0225013999999988e-05,2.1507251999999897e-05,8.863423499000002e+42,2.5861942706382003e+41,1.6388417486385002e+41
LoVoCCS-93,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-94,4.837,0.1443716409999993,0.1591253840000002,0.575432,0.0624656745,0.0657536106999999,0.00199994,5.220393099999998e-05,5.318154200000024e-05,2.41964364e+43,4.2735505025081004e+41,4.394426108971101e+41
LoVoCCS-97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-98,3.78418,0.060796137,0.0611916109999999,0.427439,0.0302013012,0.0312470595,0.00372717,4.784191400000011e-05,4.80812829999999e-05,2.839792321e+43,2.4211329081229003e+41,2.6307982880468005e+41
LoVoCCS-99,4.49401,0.2094764559999999,0.2250952499999998,0.290035,0.0672012425999999,0.0734051927,0.00235175,5.858951400000007e-05,5.7549553000000014e-05,9.016164229e+42,1.2763988182572002e+41,1.5114770091522002e+41
LoVoCCS-101,3.7925,0.1632281349999997,0.1676446830000002,0.17627,0.0553023464,0.0596214528999999,0.000458902,1.2831180800000012e-05,1.3048027699999996e-05,7.770060434000001e+42,1.3957914947772002e+41,1.4512175740884e+41
LoVoCCS-121,2.95569,0.0514573469999999,0.0515943929999997,0.345469,0.0238134253,0.0246436330999999,0.000833264,1.2227677999999964e-05,1.2371631100000012e-05,4.206487682e+42,5.22075013816e+40,2.961503359552e+40
LoVoCCS-123,4.13136,0.0654943509999999,0.0650068399999996,0.427873,0.0294533853999999,0.0303895871,0.00505303,5.735889699999986e-05,5.745000999999965e-05,1.9519170450000003e+43,1.4073991991165e+41,1.1338331268649e+41
LoVoCCS-124,4.72998,0.2099167140000002,0.2298126739999997,0.404919,0.0796295853999999,0.0862165524,0.00105534,3.2417544000000074e-05,3.270898899999995e-05,8.135820431e+42,1.9631944383567e+41,1.4878756407091e+41
LoVoCCS-128,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-131,4.17467,0.1462843749999995,0.1512818170000001,0.249192,0.0500705891,0.0539717086999999,0.00248103,5.8687766999999946e-05,5.935496000000025e-05,2.538646293e+43,4.647962933111001e+41,3.5211334373775e+41
LoVoCCS-134,3.92454,0.1983351989999997,0.2136389470000002,0.157616,0.06271339497,0.0679719517,0.000620864,1.7996545600000016e-05,1.816170289999997e-05,4.18210864e+42,7.933360126877001e+40,6.383224352662001e+40
LoVoCCS-20,4.2723,0.0207539410000006,0.0208244139999997,0.553935,0.0114766451999999,0.0116028907,0.0102823,4.751636999999857e-05,4.767462000000028e-05,1.2760710660000003e+44,4.462335102870301e+41,5.0444387247462e+41
LoVoCCS-28,6.02803,0.093245714,0.0984105799999994,0.278876,0.0239996111999999,0.0246821741999999,0.00454613,3.55650469999998e-05,3.5539063999999974e-05,3.20859108e+43,1.9424123397761e+41,2.1930427226355002e+41
LoVoCCS-40,3.91109,0.033303504,0.0333446799999999,1.06581,0.032071755,0.0327934730000001,0.0106746,0.0001012657899999,0.00010132833,8.720998902e+43,3.493195441226e+41,4.3949845409645e+41
LoVoCCS-53,4.44272,0.0863952919999997,0.0868559130000008,0.366349,0.0337620985,0.0350901956,0.00418313,5.5807904000000456e-05,5.593567399999992e-05,3.2610212700000004e+43,3.0384864768812003e+41,2.7095173630566e+41
LoVoCCS-56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-60,6.36453,0.1512660010000006,0.162459085,0.287783,0.0368651734,0.0381507089,0.000848833,1.3687471199999993e-05,1.3841865599999994e-05,8.202801551e+42,1.1291727328282e+41,1.2720567934701003e+41
LoVoCCS-110,4.23766,0.1177860859999997,0.1261266479999996,0.247667,0.0420162343,0.0442805772999999,0.00214412,4.048998599999985e-05,4.087080200000041e-05,9.954001530000002e+42,1.1587786690237001e+41,1.4088660509551003e+41
LoVoCCS-119,2.68522,0.0136721340000001,0.0136739529999996,0.491305,0.0099764014,0.0101159636,0.00207883,1.2497197999999843e-05,1.2540868000000122e-05,3.4232668820000003e+43,1.4080352884683001e+41,1.3985460724755003e+41
