name,MCXC,LoVoCCSID,ra,dec,redshift,L500,M500,R500,alt_name,other_names,Notes
MCXCJ2034.7-3548,J2034.7-3548,21,308.6995833,-35.81333333,0.0894,2.963013,3.7297,1.0637,RXCJ2034.7-3548,A3695,"L,losStr"
MCXCJ1712.7+6403,J1712.7+6403,22,258.1966667,64.06138889,0.0809,2.94906,3.741,1.0678,RXCJ1712.7+6403,A2255,L
MCXCJ2249.9-6425,J2249.9-6425,23,342.4875,-64.42944444,0.094,2.828545,3.6139,1.051,RXCJ2249.9-6425,A3921,losStr
MCXCJ1143.5+4623,J1143.5+4623,24,175.87625,46.38444444,0.1167,2.786307,3.5238,1.0344,RXCJ1143.5+4623,A1361,
MCXCJ2214.5-1022,J2214.5-1022,25,333.6358333,-10.37166667,0.098,2.770068,3.5581,1.0442,RXCJ2214.5-1022,A2426,
MCXCJ0342.8-5338,J0342.8-5338,26,55.72458333,-53.63527778,0.059,2.76492,3.6513,1.0667,RXCJ0342.8-5338,A3158,"L,losStr"
MCXCJ1217.6+0339,J1217.6+0339,27,184.4191667,3.6625,0.0766,2.744796,3.5915,1.0548,RXCJ1217.6+0339,ZwCl1215,
MCXCJ0042.1-2832,J0042.1-2832,28,10.53625,-28.53583333,0.1082,2.734146,3.5046,1.0355,RXCJ0042.1-2832,A2811,losStr
MCXCJ0918.1-1205,J0918.1-1205,29,139.5270833,-12.09333333,0.0539,2.716018,3.6243,1.0658,RXCJ0918.1-1205,A780,BX
MCXCJ2210.3-1210,J2210.3-1210,30,332.5820833,-12.17611111,0.0846,2.672473,3.5139,1.0445,RXCJ2210.3-1210,A2420,
MCXCJ1522.4+2742,J1522.4+2742,31,230.6104167,27.70944444,0.0723,2.627874,3.5078,1.048,RXCJ1522.4+2742,A2065,
MCXCJ1130.3-1434,J1130.3-1434,32,172.58125,-14.58305556,0.1068,2.605129,3.4062,1.0262,RXCJ1130.3-1434,A1285,
MCXCJ0011.7+3225,J0011.7+3225,33,2.935,32.41694444,0.1073,2.571958,3.3785,1.0232,RXCJ0011.7+3225,A7,
MCXCJ2246.3-5243,J2246.3-5243,34,341.5775,-52.72944444,0.0965,2.565193,3.3988,1.0289,RXCJ2246.3-5243,A3911,L
MCXCJ0736.4+3925,J0736.4+3925,35,114.1058333,39.43333333,0.1177,2.518069,3.3105,1.0128,RXCJ0736.4+3925,,C
MCXCJ2331.2-3630,J2331.2-3630,36,352.8029167,-36.50666667,0.0957,2.419356,3.2815,1.0172,RXCJ2331.2-3630,A4010,
MCXCJ1539.8+3043,J1539.8+3043,37,234.9529167,30.71722222,0.098,2.257681,3.1409,1.0017,RXCJ1539.8+3043,A2110,
MCXCJ1518.7+0613,J1518.7+0613,38,229.69,6.231111111,0.1021,2.241343,3.118,0.9979,RXCJ1518.7+0613,A2055,C
MCXCJ1539.5-8335,J1539.5-8335,39,234.89125,-83.59222222,0.0728,2.235082,3.177,1.0138,RXCJ1539.5-8335,,
