name,MCXC,LoVoCCSID,ra,dec,redshift,L500,M500,R500,alt_name,other_names,Notes,sub_samp,LoVoCCS_name,Name,RA,DEC,Redshift,Newly processed,Fully observed,Comments,XMM_R500_FRAC,CHANDRA_R500_FRAC,y500,log_y500
MCXCJ2307.2-1513,J2307.2-1513,74,346.81375,-15.22833333,0.111,1.552593,2.4769,0.9215,RXCJ2307.2-1513,A2533,,south,LoVoCCS-74,A2533,346.81,-15.23,0.111,1.0,yes,The BCG looks interesting — looks like there’s some dust lane/disk/jet. (http://etheses.dur.ac.uk/12338/). ,0.9993815708101422,0.9715522572665428,9.923666098340152e-06,-5.003327856863346
MCXCJ2313.0-2137,J2313.0-2137,75,348.25375,-21.63194444,0.0871,1.509152,2.4758,0.9286,RXCJ2313.0-2137,A2556,,south,LoVoCCS-75,A2556,348.25,-21.63,0.0871,1.0,yes,"Note nearby clusters A2550, AQ, SPT",1.0,0.9964857477547832,8.37493172278085e-06,-5.077018724892954
MCXCJ1521.8+0742,J1521.8+0742,78,230.4583333,7.708888889,0.0442,1.482131,2.5215,0.9473,RXCJ1521.8+0742,MKW3s,,south,LoVoCCS-78,MKW3s,230.46,7.71,0.0442,,yes,"Near A2052, A2063",0.8339954901750242,0.8291635348437668,7.214657648876577e-06,-5.141784272294859
MCXCJ0328.6-5542,J0328.6-5542,79,52.15625,-55.71277778,0.0853,1.467361,2.4368,0.9243,RXCJ0328.6-5542,A3126,,south,LoVoCCS-79,A3126,52.16,-55.71,0.0853,1.0,yes,Special mass map -- but matches DES Y3 Weiner map. Hints of high redshift red galaxies.,1.0,0.8880397401604891,1.8112598574622297e-05,-4.742019237943238
MCXCJ0345.9-2416,J0345.9-2416,80,56.48333333,-24.28027778,0.1057,1.462214,2.397,0.9131,RXCJ0345.9-2416,A458,,south,LoVoCCS-80,A458,56.48,-24.28,0.1057,,yes,,0.9988564894225272,0.0,8.807909750841674e-06,-5.055127143958223
MCXCJ0102.7-2152,J0102.7-2152,81,15.67541667,-21.87361111,0.0569,1.460216,2.4774,0.9379,RXCJ0102.7-2152,A133,,south,LoVoCCS-81,A133,15.68,-21.87,0.0569,1.0,yes,"Collaborator's observation (Ana Costa, Yara Jaffe, 2022B-791264).",0.9966555183946488,1.0,1.6507099877251915e-05,-4.7823292209795385
MCXCJ1516.7+0701,J1516.7+0701,82,229.1833333,7.018611111,0.0353,1.442058,2.4945,0.9465,RXCJ1516.7+0701,A2052,,south,LoVoCCS-82,A2052,229.18,7.02,0.0353,,yes,"Near A2055,A2063,MKW3s",0.6342044419533385,0.85300917816857,6.9093748554612664e-06,-5.160561244826294
MCXCJ2216.2-0920,J2216.2-0920,83,334.0645833,-9.34,0.0825,1.438718,2.4124,0.922,RXCJ2216.2-0920,A2428,,south,LoVoCCS-83,A2428,334.06,-9.34,0.0825,1.0,yes,,1.0,0.0,6.676413666191379e-06,-5.175456762559214
MCXCJ0056.3-0112,J0056.3-0112,85,14.07625,-1.216666667,0.0442,1.437223,2.4747,0.9413,RXCJ0056.3-0112,A119,"L,losStr",south,LoVoCCS-85,A119,14.08,-1.22,0.0442,,partially,Collaborator's observation (...).,0.7860328510823452,0.6794300010877842,2.6765155170932143e-05,-4.572430234451884
MCXCJ2312.3-2130,J2312.3-2130,88,348.08625,-21.50055556,0.1108,1.431443,2.3576,0.9065,RXCJ2312.3-2130,A2554,losStr,south,LoVoCCS-88,A2554,348.09,-21.5,0.1108,1.0,yes,Near A2556,1.0,0.9519291587602784,1.2111863605619173e-05,-4.916789028502893
MCXCJ1511.3+0619,J1511.3+0619,89,227.8479167,6.318888889,0.0817,1.406968,2.3811,0.9183,A2033,A2033,,south,LoVoCCS-89,A2033,227.85,6.32,0.0817,1.0,yes,Done Together with A2029,0.870403427347376,0.9992859692966798,1.484809301276136e-05,-4.828329320570089
MCXCJ2319.1-4206,J2319.1-4206,90,349.775,-42.11388889,0.045,1.405897,2.4403,0.9367,MS2316.3-4222,ACOS1111,,south,LoVoCCS-90,ACOS1111,349.77,-42.11,0.045,,yes,Near A3998,0.6354629313290058,0.4834301332422275,5.499243015352508e-07,-6.259697088120516
MCXCJ0028.6-2338,J0028.6-2338,91,7.16375,-23.63722222,0.112,1.404549,2.3285,0.9024,RXCJ0028.6-2338,A42,,south,LoVoCCS-91,A42,7.16,-23.64,0.112,,partially,,0.0,0.0,1.1562328708559126e-05,-4.93695468811052
MCXCJ1244.6-1159,J1244.6-1159,92,191.1583333,-11.98527778,0.0963,1.375433,2.3246,0.9066,RXCJ1244.6-1159,A1606,,south,LoVoCCS-92,A1606,191.16,-11.99,0.0963,,yes,,1.0,0.0,1.3762411059383096e-06,-5.8613054746718865
MCXCJ1602.3+1601,J1602.3+1601,95,240.5779167,16.02,0.0353,1.35838,2.4052,0.9351,A2147,A2147,,north,LoVoCCS-95,A2147,240.58,16.02,0.0353,1.0,yes,Clear shift of lensing peak --  Probably it's caused by nearby clusters. Part of Hercules supercluster: https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.3470M/abstract ,0.6140754039497307,0.4279353680430879,2.3713143093303165e-05,-4.625010878007942
MCXCJ2354.2-1024,J2354.2-1024,96,358.5558333,-10.41277778,0.0765,1.336537,2.316,0.9113,RXCJ2354.2-1024,A2670,"B,losStr",south,LoVoCCS-96,A2670,358.56,-10.41,0.0765,1.0,yes,,1.0,0.99808,1.2363525498072545e-05,-4.907857671153472
MCXCJ1257.2-3022,J1257.2-3022,97,194.3204167,-30.37694444,0.0554,1.323277,2.3354,0.9201,RXCJ1257.2-3022,A3532,"B,GR5",south,LoVoCCS-97,A3532,194.32,-30.38,0.0554,,yes,Near A3528. A3530. eRosita data.,0.9897302001740644,0.7364664926022628,2.4010743784473226e-05,-4.619594386528177
MCXCJ0912.4+1556,J0912.4+1556,98,138.1241667,15.94305556,0.0851,1.312476,2.2769,0.9037,A763,A763,,north,LoVoCCS-98,A763,138.12,15.94,0.0851,1.0,yes,,0.0,0.9904799682665608,1.482459182312746e-06,-5.829017255562607
MCXCJ1516.5-0056,J1516.5-0056,99,229.1416667,-0.948888889,0.1198,1.296543,2.2053,0.8839,RXCJ1516.5-0056,A2051,,south,LoVoCCS-99,A2051,229.14,0.95,0.1198,,yes,Near A2050 (1 deg). Small BCG. ,0.0,0.0,1.6328559598474723e-05,-4.787052124266683
MCXCJ0013.6-1930,J0013.6-1930,103,3.409583333,-19.50222222,0.094,1.236332,2.1818,0.8883,RXCJ0013.6-1930,A13,losStr,south,LoVoCCS-103,A13,3.41,-19.5,0.094,,partially,,1.0,0.9995061728395062,1.2314842680187443e-05,-4.909571131820241
MCXCJ2359.9-3928,J2359.9-3928,105,359.9820833,-39.47972222,0.1024,1.22609,2.1579,0.8826,RXCJ2359.9-3928,A4068,,south,LoVoCCS-105,A4068,359.98,-39.48,0.1024,,partially,,0.9994256174612292,0.0,4.629604924460298e-06,-5.334456068689957
MCXCJ2316.1-2027,J2316.1-2027,107,349.03125,-20.45527778,0.0822,1.211831,2.1731,0.8906,RXCJ2316.1-2027,A2566,,south,LoVoCCS-107,A2566,349.03,-20.46,0.0822,,partially,,1.0,0.9726185885075204,3.854620717705533e-06,-5.414018348692473
MCXCJ0212.8-4707,J0212.8-4707,111,33.22458333,-47.13277778,0.115,1.162194,2.0701,0.8668,RXCJ0212.8-4707,A2988,,south,LoVoCCS-111,A2988,33.22,-47.13,0.115,,partially,,0.0,0.8699186991869918,8.923250887460523e-06,-5.04947689615354
MCXCJ0107.8-3643,J0107.8-3643,112,16.95458333,-36.72722222,0.1186,1.156778,2.0589,0.8642,RXCJ0107.8-3643,A2871,,south,LoVoCCS-112,A2871,16.95,-36.73,0.1186,,partially,,0.0,0.0,3.990630087670231e-06,-5.398958527372369
MCXCJ1523.0+0836,J1523.0+0836,114,230.7725,8.6025,0.0355,1.138819,2.1598,0.902,RXCJ1523.0+0836,A2063,,south,LoVoCCS-114,A2063,230.77,8.6,0.0355,,almost,,0.6707288493086477,0.8563393484883993,8.484438326982556e-06,-5.0713769028532125
MCXCJ2205.6-0535,J2205.6-0535,117,331.41875,-5.593333333,0.0582,1.108636,2.0925,0.8862,RXCJ2205.6-0535,A2415,B,south,LoVoCCS-117,A2415,331.42,-5.59,0.0582,,partially,,1.0,0.9163412127440904,5.97366370881352e-06,-5.223759229926985
MCXCJ0330.0-5235,J0330.0-5235,118,52.50291667,-52.59611111,0.0624,1.101682,2.0786,0.8831,RXCJ0330.0-5235,A3128,"DL,two maxima/NE-SW",south,LoVoCCS-118,A3128,52.5,-52.6,0.0624,1.0,yes,"Merging cluster with multiple central galaxies. A3125 small clump SW. No clear connection with A3128? Central APMCC421. https://arxiv.org/pdf/0807.4579.pdf XMM mupltiple peaks. https://openaccess.wgtn.ac.nz/articles/thesis/Characterising_Radio_Emissions_in_Cosmic_Filaments/17006248"" https://ui.adsabs.harvard.edu/abs/2005AJ....130..957F/abstract ",1.0,0.8324286051451498,1.4347068839712722e-05,-4.8432368178684895
MCXCJ1027.9-0647,J1027.9-0647,119,156.9983333,-6.796111111,0.1176,1.095941,1.9936,0.8553,RXCJ1027.9-0647,A1023,X *,south,LoVoCCS-119,A1023,157.0,-6.8,0.1176,1.0,yes,,0.0,0.0,4.447252876522597e-06,-5.351908175305738
MCXCJ1254.6-2913,J1254.6-2913,120,193.6725,-29.22333333,0.0544,1.093054,2.0799,0.8855,RXCJ1254.6-2913,A3528,"PB,GR4",south,LoVoCCS-120,A3528,193.67,-29.22,0.0544,,yes,"With A3532, A3530 nearby. eRosita data.",0.9770784064034927,0.9899945424777152,2.0871618980324655e-05,-4.680443862053337
MCXCJ1113.3+0231,J1113.3+0231,121,168.33625,2.532222222,0.078,1.090082,2.0432,0.8736,RXCJ1113.3+0231,A1205,,south,LoVoCCS-121,A1205,168.34,2.53,0.078,1.0,yes,Lensing mainly comes from the nearby background cluster?,1.0,0.0,1.007342683454596e-05,-4.99682276359102
MCXCJ0011.3-2851,J0011.3-2851,123,2.83625,-28.855,0.062,1.086002,2.0611,0.8807,RXCJ0011.3-2851,A2734,losStr,south,LoVoCCS-123,A2734,2.84,-28.86,0.062,,partially,,1.0,0.987549917782476,1.3938784928397998e-05,-4.8557750829016735
MCXCJ2145.9-1006,J2145.9-1006,124,326.4783333,-10.10444444,0.0808,1.085118,2.0336,0.8715,RXCJ2145.9-1006,A2377,"P,GR9",south,LoVoCCS-124,A2377,326.48,-10.1,0.0808,,partially,,0.9996095275283092,0.0,1.2383459858992673e-05,-4.907157999278658
MCXCJ0425.8-0833,J0425.8-0833,125,66.46416667,-8.559166667,0.0397,1.080714,2.0861,0.8905,RXCJ0425.8-0833,RBS0540,X,south,LoVoCCS-125,RBS0540,66.46,-8.56,0.0397,1.0,yes,,0.6318708527285333,0.670793304942062,6.082920168135303e-06,-5.215887883153355
MCXCJ0910.6-1034,J0910.6-1034,128,137.65125,-10.58111111,0.0916,1.063423,1.9936,0.8627,RXCJ0910.6-1034,A761,,south,LoVoCCS-128,A761,137.65,-10.58,0.0916,,yes,,0.9995022399203584,0.0,7.72075241575516e-06,-5.112340374005251
MCXCJ2359.3-6042,J2359.3-6042,130,359.83,-60.7,0.0989,1.051539,1.9699,0.8572,RXCJ2359.3-6042,A4067,,south,LoVoCCS-130,A4067,359.83,-60.7,0.0989,,partially,,1.0,0.996553704767375,2.996261247161775e-06,-5.523420322730129
MCXCJ2158.4-6023,J2158.4-6023,131,329.6133333,-60.39944444,0.075,1.050267,2.0015,0.8685,RXCJ2158.4-6023,A3825,losStr,south,LoVoCCS-131,A3825,329.61,-60.4,0.075,1.0,yes,Very weak lensing signal. With A3827,1.0,0.0,1.1064606046314566e-05,-4.956064044453174
MCXCJ1353.0+0509,J1353.0+0509,132,208.2541667,5.155,0.0788,1.044658,1.9898,0.8657,RXCJ1353.0+0509,A1809,,south,LoVoCCS-132,A1809,208.25,5.16,0.0788,,partially,,0.9935532802427,0.0,9.080550520351151e-06,-5.041887821005013
MCXCJ2347.7-2808,J2347.7-2808,134,356.93,-28.14138889,0.03,1.029501,2.0383,0.8863,RXCJ2347.7-2808,A4038,L,south,LoVoCCS-134,A4038,356.93,-28.14,0.03,,partially,,0.3826712689405019,0.5564851108640965,6.439145924832343e-06,-5.191171732753604
