Obs ID,M1S,M1U,M2S,M2U,PNS,PNU,Comments
0762470201,Bad,,Bad,,Bad,,Algorithm didn’t work well for M1/M2; PN just looks flared
0765000401,Good,,Good,,Good,,
0765010401,Bad,,Bad,,,,It seems to be mostly flared
0765010501,Good,,Good,,Good,,
0765021201,Good,,Good,,Good,,
0765031101,Good,,Good,,Good,,
0765040601,Good,,Good,,Good,,Latter half of the data is flared
0765041201,Good,,Good,,Good,,
0782531001,Good,,Good,,Good,,
0782720301,Good,,Good,,Good,,
0783270101,Good,,Good,,Good,,Corner light curve missing ERROR--YMIN = YMAX in window 3
0783380101,Good,,Good,,Good,,
0783380131,Good,,Good,,Good,,PN mostly flared
0783380132,Good,,Good,,Good,,
0783380133,Good,,Good,,Good,,
0783380134,Good,,Good,,Good,,
0783380135,Good,,Bad,,Good,,Gaussian for M2 should be similar to M1; PN mostly flared
0783380136,Good,,Good,,Good,,
0783380137,Good,,Good,,Good,,
0783380138,Good,,Good,,Good,,
0783380148,Bad,,Good,,Good,,Algorithm didn't work for M1
0783380149,Bad,,Good,,Good,,Algorithm didn't work for M1
0783380150,Bad,,Good,,Good,,Algorithm didn't work for M1
0783380151,Bad,,Good,,Good,,Algorithm didn't work for M1
0783380152,Bad,,Good,,Good,,Algorithm didn't work for M1
0783380153,Bad,,Good,,Good,,Algorithm didn't work for M1
0783380154,Good,,Good,,Good,,Latter half of the data is flared
0784370501,Good,Good,Good,Good,Good,Good,
0784521101,Good,,Good,,Good,,
0784521201,Good,,Good,,Good,,
0784521301,Good,,Good,,Good,,
0784521401,Good,,Good,,Good,,
0784521501,Good,,Good,,Good,,
0785130501,Good,,Good,,,,
0800380101,,Good,,Good,,Good,
0800630101,Good,,Good,,Good,,
0800760101,Good,,Good,,Good,,
0801930901,,Good,,Good,,Good,
0802750501,Good,,Good,,Good,,
0802830201,Good,,Good,,Good,,About 25% of the starting data is useful
0821270601,Good,,Good,,Good,,About half of the data is flared
0821270801,Good,,Good,,Good,,
